pub_dt,0
2020-01-31,2259
2020-02-29,2194
2020-03-31,2700
2020-04-30,2652
2020-05-31,2356
2020-06-30,2659
2020-07-31,2477
2020-08-31,2248
2020-09-30,2509
2020-10-31,2710
2020-11-30,2355
2020-12-31,2727
2021-01-31,2286
2021-02-28,2304
2021-03-31,2973
2021-04-30,2627
2021-05-31,2459
2021-06-30,2814
2021-07-31,2639
2021-08-31,2788
2021-09-30,2641
2021-10-31,2404
2021-11-30,2706
2021-12-31,2666
2022-01-31,2090
2022-02-28,2326
2022-03-31,3054
2022-04-30,2354
2022-05-31,2846
2022-06-30,2773
2022-07-31,2212
2022-08-31,2818
2022-09-30,2713
2022-10-31,2650
2022-11-30,2879
2022-12-31,2935
2023-01-31,2844
2023-02-28,2607
2023-03-31,2896
2023-04-30,2335
2023-05-31,2729
2023-06-30,3025
2023-07-31,2318
2023-08-31,3144
2023-09-30,2607
2023-10-31,3096
2023-11-30,3131
2023-12-31,2505
